titulo;grupo;latitud;longitud;link
Chiquilla;Seguridad Social;TODO;TODO;https://open.spotify.com/track/4eJikwHYHJ3yMg1tvS1Mom
María la Portuguesa;Enrique Urquijo y los Problemas;TODO;TODO;https://open.spotify.com/track/76pEy8ape94MR3CVumu7Er
Catalina;Danza Invisible;TODO;TODO;https://open.spotify.com/track/1RRnucGL9yccndW0dnz4Hn
Ojos de gata;LosSecretos;TODO;TODO;https://open.spotify.com/track/3AWefROgvMxXeT7nS1g94l
Te dejo Madrid;Shakira;TODO;TODO;https://open.spotify.com/track/3ToWC9JYSmDIa9yJs0k6PO
Carolina (Directo);M-Clan;TODO;TODO;https://open.spotify.com/track/4UtREbGYnd1nZLckEb5y8J
El calor del amor en un bar;Gabinete Caligari;TODO;TODO;https://open.spotify.com/track/0AFJOoRQFlo10Vm1p6BRjg
El imperio contraataca;LOS NIKIS;TODO;TODO;https://open.spotify.com/track/0EzVGEyUB9HAXT1cQHwhqf
Años 80;Los Piratas;TODO;TODO;https://open.spotify.com/track/2JSS7qeXxxbkFsnqsOkt7Q
España va bien;Ska-P;TODO;TODO;https://open.spotify.com/track/5V74r95JEpsStXRGpr4a91
Madrid;Juniper Moon;TODO;TODO;https://open.spotify.com/track/01MVxdsLNEaHkeXOEsNZjL
Todos lospaletos fuera de Madrid;Séptimo Sello;TODO;TODO;https://open.spotify.com/track/2MLLke7LecQW1ic8r2oD0P
Pavananchel;Labanda;TODO;TODO;https://open.spotify.com/track/1wsvkP1rAFOV6OhuYir0mU
